Arduino Datalogger Output
Temperature and Relative Humidity Sensor Output
Measurements using a AM2301B Sensor
RecordNumber,Time_s,AvgTemperature_DegC,AvgHumidity_%
210,12600.00,20.51,41.30
211,12660.00,20.49,41.32
212,12720.00,20.48,41.35
213,12780.00,20.45,41.37
214,12840.00,20.44,41.40
215,12900.00,20.43,41.41
216,12960.00,20.42,41.45
217,13020.00,20.41,41.45
218,13080.00,20.39,41.43
219,13140.00,20.37,41.43
220,13200.00,20.36,41.46
221,13260.00,20.36,41.45
222,13320.00,20.34,41.50
223,13380.00,20.33,41.49
224,13440.00,20.31,41.53
225,13500.00,20.30,41.52
226,13560.00,20.30,41.53
227,13620.00,20.28,41.55
228,13680.00,20.26,41.56
229,13740.00,20.25,41.54
230,13800.00,20.24,41.58
231,13860.00,20.23,41.58
232,13920.00,20.22,41.61
233,13980.00,20.21,41.58
234,14040.00,20.20,41.60
235,14100.00,20.19,41.63
236,14160.00,20.18,41.64
237,14220.00,20.16,41.68
238,14280.00,20.15,41.66
239,14340.00,20.15,41.66
240,14400.00,20.13,41.69
241,14460.00,20.11,41.69
242,14520.00,20.10,41.71
243,14580.00,20.10,41.70
244,14640.00,20.08,41.74
245,14700.00,20.06,41.74
246,14760.00,20.05,41.74
247,14820.00,20.04,41.77
248,14880.00,20.03,41.77
249,14940.00,20.03,41.85
250,15000.00,20.00,41.87
251,15060.00,20.01,41.81
252,15120.00,19.98,41.79
253,15180.00,19.98,41.83
254,15240.00,19.97,41.84
255,15300.00,19.96,41.85
256,15360.00,19.94,41.86
257,15420.00,19.92,41.90
258,15480.00,19.92,41.92
259,15540.00,19.92,41.87
260,15600.00,19.89,41.86
261,15660.00,19.89,41.90
262,15720.00,19.88,41.89
263,15780.00,19.88,41.91
264,15840.00,19.87,41.91
265,15900.00,19.87,42.01
266,15960.00,19.84,42.01
267,16020.00,19.83,42.05
268,16080.00,19.81,42.04
269,16140.00,19.81,42.07
270,16200.00,19.80,42.07
271,16260.00,19.78,42.08
272,16320.00,19.78,42.08
273,16380.00,19.77,42.07
274,16440.00,19.77,42.10
275,16500.00,19.78,42.07
276,16560.00,19.75,42.06
277,16620.00,19.74,42.04
278,16680.00,19.73,42.07
279,16740.00,19.73,42.08
280,16800.00,19.71,42.12
281,16860.00,19.71,42.15
282,16920.00,19.69,42.16
283,16980.00,19.68,42.16
284,17040.00,19.68,42.15
285,17100.00,19.67,42.19
286,17160.00,19.66,42.14
287,17220.00,19.66,42.17
288,17280.00,19.65,42.19
289,17340.00,19.64,42.17
290,17400.00,19.62,42.18
291,17460.00,19.62,42.19
292,17520.00,19.61,42.19
293,17580.00,19.60,42.20
294,17640.00,19.58,42.18
295,17700.00,19.57,42.18
296,17760.00,19.57,42.18
297,17820.00,19.57,42.17
298,17880.00,19.56,42.18
299,17940.00,19.54,42.22
300,18000.00,19.55,42.22
301,18060.00,19.54,42.20
302,18120.00,19.52,42.23
303,18180.00,19.52,42.23
304,18240.00,19.51,42.30
305,18300.00,19.50,42.30
306,18360.00,19.49,42.29
307,18420.00,19.50,42.30
308,18480.00,19.48,42.31
309,18540.00,19.47,42.34
310,18600.00,19.46,42.32
311,18660.00,19.46,42.36
312,18720.00,19.44,42.33
313,18780.00,19.45,42.35
314,18840.00,19.43,42.35
315,18900.00,19.42,42.32
316,18960.00,19.42,42.31
317,19020.00,19.41,42.31
318,19080.00,19.41,42.32
319,19140.00,19.40,42.33
320,19200.00,19.38,42.33
321,19260.00,19.39,42.34
322,19320.00,19.38,42.32
323,19380.00,19.37,42.34
324,19440.00,19.38,42.38
325,19500.00,19.35,42.36
326,19560.00,19.34,42.35
